                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8906,                 2.4044,                 1.1873,                0.04698,                0.44996,                0.13682,                0.06746,                 1.9537,                 3.5439,                 1.2849,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 1.8682,                 2.4087,                 1.2183,                 0.0481,                0.44508,                0.13961,                0.06585,                 1.9766,                 3.5296,                 1.2972,             4.9515e-05,             4.9515e-05,             4.9515e-05
                      3,                 1.9195,                 2.2835,                 1.2027,                0.04949,                0.44007,                0.13698,                0.06479,                 2.0125,                 3.5068,                 1.3221,               8.17e-05,               8.17e-05,               8.17e-05
                      4,                 1.8958,                 2.1071,                 1.1776,                0.05258,                0.45141,                0.15938,                0.07301,                 2.0248,                 3.4567,                 1.3309,             0.00011322,             0.00011322,             0.00011322
                      5,                 1.9065,                 1.9265,                 1.1768,                0.05739,                0.47187,                0.21337,                0.10368,                 1.9412,                 3.3232,                 1.2626,             0.00014409,             0.00014409,             0.00014409
                      6,                 1.8659,                 1.6846,                 1.1741,                0.06597,                0.51363,                0.25585,                0.11401,                 1.9924,                 3.2114,                 1.2828,             0.00017429,             0.00017429,             0.00017429
                      7,                 1.8518,                 1.5321,                 1.1497,                 0.0857,                0.62354,                 0.3754,                0.15631,                 2.0457,                 3.0112,                  1.291,             0.00020384,             0.00020384,             0.00020384
                      8,                 1.8275,                 1.3931,                 1.1603,                 0.1074,                 0.7407,                0.52697,                0.21463,                 2.0531,                 2.7252,                 1.2712,             0.00023272,             0.00023272,             0.00023272
                      9,                 1.8135,                 1.3091,                 1.1679,                 0.1476,                0.71563,                0.54229,                0.20946,                 2.1413,                 2.6122,                 1.3034,             0.00026095,             0.00026095,             0.00026095
                     10,                 1.8358,                 1.2927,                 1.1386,                0.81795,                0.37894,                0.61745,                0.24278,                 2.1078,                 2.3904,                 1.2725,             0.00028851,             0.00028851,             0.00028851
